reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
"A30TL5EWN6DFXT","120401325X","christina","[0, 0]","They look good and stick good! I just don't like the rounded shape because I was always bumping it and Siri kept popping up and it was irritating. I just won't buy a product like this again","4.0","Looks Good","1400630400","05 21, 2014"
"ASY55RVNIL0UD","120401325X","emily l.","[0, 0]","These stickers work like the review says they do. They stick on great and they stay on the phone. They are super stylish and I can share them with my sister. :)","5.0","Really great product.","1389657600","01 14, 2014"
"A2TMXE2AFO7ONB","120401325X","Erica","[0, 0]","These are awesome and make my phone look so stylish! I have only used one so far and have had it on for almost a year! CAN YOU BELIEVE THAT! ONE YEAR!! Great quality!","5.0","LOVE LOVE LOVE","1403740800","06 26, 2014"
"AWJ0WZQYMYFQ4","120401325X","JM","[4, 4]","Item arrived in great time and was in perfect condition. However, I ordered these buttons because they were a great deal and included a FREE screen protector. I never received one. Though its not a big deal, it would've been nice to get it since they claim it comes with one.","4.0","Cute!","1382313600","10 21, 2013"
"ATX7CZYFXI1KW","120401325X","patrice m rogoza","[2, 3]","awesome! stays on, and looks great. can be used on multiple apple products.  especially having nails, it helps to have an elevated key.","5.0","leopard home button sticker for iphone 4s","1359849600","02 3, 2013"
"APX47D16JOP7H","120401325X","RLH","[1, 2]","These make using the home button easy. My daughter and I both like them.  I would purchase them again. Well worth the price.","3.0","Cute","1381536000","10 12, 2013"
"A1JVVYYO7G56DS","120401325X","Tyler Evans","[0, 0]","Came just as described.. It doesn't come unstuck and its cute! People ask where I got them from & it's great when driving.","5.0","best thing ever..","1377129600","08 22, 2013"
"A6FGO4TBZ3QFZ","3998899561","Abdullah Albyati","[1, 2]","it worked for the first week then it only charge my phone to 20%. it is a waste of money.","1.0","not a good Idea","1384992000","11 21, 2013"
"A2JWEDW5FSVB0F","3998899561","Adam","[2, 3]","Good case, solid build. Protects phone all around with good access to buttons. Battery charges with full battery lasts me a full day. I usually leave my house around 7am and return at 10pm. I'm glad that it lasts from start to end. 5/5","5.0","Solid Case","1380067200","09 25, 2013"
"A8AJS1DW7L3JJ","3998899561","Agata Majchrzak","[1, 1]","This is a fantastic case. Very stylish and protects my phone. Easy access to all buttons and features, without any loss of phone reception. But most importantly, it double power, just as promised. Great buy","5.0","Perfect Case","1396483200","04 3, 2014"
"A2YO4SCWAWNYBI","3998899561","Alex Maslakov","[0, 0]","this case fits perfectly on the s4 and keeps me powerd all day I can't complain! a+ recommend it to all","5.0","Just what I needed","1397347200","04 13, 2014"
"A3AFELPYTZH90T","3998899561","Baja Alan","[2, 3]","This is the first battery case I have had for my Galaxy S4. The S4 fits very well, is slim and doesn't add much weight to the Galaxy S4. It doubles the battery life. You can charge either the battery, the phone or both. There is a handy on-off switch with leds to indicate the level of charge.The battery case came on time and was packaged well. Well worth the price.","5.0","A Winner","1384905600","11 20, 2013"
"A6Q0P54QSP11J","3998899561","Olivia ysiak","[3, 3]","Performs exactly as advertised . It's very  sturdily built,and provides lots of boost . It does exactly what it's supposed too .Easy to insert phone in and out . Definitely a 5 star experience. Don't know what I would do without this case LOVE LOVE LOVE it.","5.0","Absolutely love the case !!","1386201600","12 5, 2013"
"ANMATY0L0HX6Y","3998899561","Sasha Malkin","[12, 16]","Unlike Most of the Rechargeable Battery cases, PowerBear Lasts up to 2 whole days. It doesn't heat up like most of the other ones, and I was completely fascinated by the ultra light and sleek design for the case. Before I was using the Mophie case but I couldn't wear it often because it was like having a hot brick in your pocket, Hence I had to always leave it at home.On the contrary, with PowerBear, I never take it off because I can't even tell the difference. Also it is build in a super STRONG manner and even though I dropped my phone a few times, its shock resistant technology won't let a single thing happen to the case or the phone. The PowerBear case became an extension to my phone that I never have to take off because when I charge it at night, it charges both my phone and the case, and I have battery life for more than two days. I was also shocked to hear all the positive compliments I was hearing from people at my job, fitness center, and throughout the community. Everybody was loving the case, and what they don't know is that it cost  me 60 % CHEAPER then all the other brand. This is the best purchase I've made on the internet, and I am going to buy more for my family in time for the Holidays. THANK YOU POWERBEAR!!!!!!!!!!!!!!","5.0","Best Rechargeable Battery Case on the Market!!!!!!!!!! A++++++++","1380240000","09 27, 2013"
"A1XBPVR8FE7TE1","3998899561","tim g","[1, 1]","Just what I needed. I needed a phone case for myself and my two sons, but I also needed new replacement batteries. Now this isn't the case, since I got both in one. Awesome thanks A+","5.0","Exactly what I needed","1392940800","02 21, 2014"
"A35C4777EXZZQH","3998899561","Viktoriya","[0, 0]","When there is no outlets, or chargers near by its Powerbear to the rescue! Ordered one for my husband, and myself. Great purchase!!","5.0","5 star phone case","1397779200","04 18, 2014"
"ACU3LCRX4A8RV","3998899561","Zonaldo Reefey Zonaldo Reefey","[2, 3]","It works great. Doesn't heat up like crazy like the other ones I got, and cheaper too! Its definetly the best power case for the S4 you can get, thats why I got one for me and my wife. I wonder why its called power bear..","5.0","SUPER DUPER QUALITY!","1377388800","08 25, 2013"
"A1ZTTNS6SWFV52","6073894996","Alexander Graham Bell Very-Junior","[0, 0]","Surprisingly, this inexpensive version works just as well and just as reliably as the expensive variety. It has been working for me for months now. No problem. Excellent value.","5.0","Top Quality. Works like the Expensive Version","1368230400","05 11, 2013"
"A38EHCCO532RYI","6073894996","amazonfan1","[2, 3]","I have tested this against the griffin dual output unit.I checked the charging current.This unit was charging my galaxy note battery with 70 ma.Griffin was charging with 40 ma! And the griffin was 4 times more expensive.I have not used these for very long. I bought 15 of them, because they are so cheap and because they actually do seem to provide high current.No idea how long they last. I assume they will work fine. I have not been using them much. I did the testing , just to stock up on a high current charger. This passed and I stocked up.","5.0","High power as promised!","1348012800","09 19, 2012"
"A2INSXDTE08WSJ","6073894996","Barbie","[0, 0]","It worked great for the first couple of weeks then it just stopped completely.. so basically a small waste of money.","1.0","Horrible","1369785600","05 29, 2013"
"A9NETBZNEW2TP","6073894996","Bernadette Mitchell Lady Di","[0, 0]","I love that it has two ports for my phone and ipod. Who wants to be putting too many things in one socket.  Sleek and convenient to store and I just love it.","5.0","USB Port","1402012800","06 6, 2014"
"A385HZRPXDDFCL","6073894996","Bob","[0, 0]","just what you need, I am always having to charge my phone and then find I have another item to charge also.","5.0","Works great","1385683200","11 29, 2013"
"ALZQ9D8V53TI2","6073894996","Bruce/Emily","[0, 0]","does not have the need amps to charge things like ipads, or hp touchpads. but its super small and compact.","3.0","it works","1368835200","05 18, 2013"
"A3VWU7S29LR2XX","6073894996","Bryan S","[0, 0]","They are nothing special for sure, but it's nice that you can tell when it is powered up by the led that glows in it.  able to charge two phones at once in the car which is nice.","4.0","I like the fact they light up.","1402185600","06 8, 2014"
"A3TOHPW7ES23NZ","6073894996","Cathy","[0, 0]","I have several chargers. Have more than one vehicle so I keep more than one of these in each. Nothing more frustrating than finding all of a sudden one quits working, and you have no way to recharge your phone. That is always when you need it most.  This one works well for any of my products.","4.0","Works great","1389398400","01 11, 2014"
"A1LGWLFF0YD0KV","6073894996","Daniel Fernandez","[0, 0]","I bought this a little skeptical. After I tried it I bought two more. It works great and so far it has lasted for about 3 months. If that changes I will update this review.","5.0","Works great","1379721600","09 21, 2013"
"A2YODGM5RUZ7I1","6073894996","DCGeek1","[0, 0]","I am disappointed that the 1A didn't work with my iPad.  That's what I get for buying a cheap adapter.","2.0","This doesn't work with my iPad.","1403481600","06 23, 2014"
"A29OXVQRZ154KX","6073894996","Don Powell","[3, 4]","This is a nice charger but you can tell it was made cheaply in China.  When it is charging the phone, the car radio gets LOTS of static.  Not so much that I have to stop charging but like when you are near power lines and the radio station is far away.So, no RF shielding.I gave it 4 stars because it works fine for me, but if you listen to the radio, you might consider it is more like 2 or 3 stars.","4.0","Solid Charger but RF noisy","1363737600","03 20, 2013"
"A2U5NF3IH4YVKH","6073894996","ebony winslow","[0, 0]","After a week only one side works","2.0","Two Stars","1404345600","07 3, 2014"
"A34XJA5OE33FP1","6073894996","Hec","[0, 0]","Yo get exactly what you order in a timely fashion. And the item is just as described. Great buy if you ask me","4.0","Ok","1360195200","02 7, 2013"
"A2DZO8MWVM4WKD","6073894996","Hekkenschtze Hekkenschutze","[0, 0]","This is a terribly awesome product in my Subaru's console.  Passengers love it, I love it because it emits a blue glow, because it has held up to abuse over the years and performs like new.","5.0","USB slots in a blue light that never quits","1384041600","11 10, 2013"
"A3VCIEAN3NYO12","6073894996","Jason M. Faulkner JMF","[2, 3]","I've bough a munch of different things like this over the years. Most wouldn't stay in the jack, or would give out after a few days. This one is GREAT!","5.0","good","1365292800","04 7, 2013"
"ASRM2FSLDPXVX","6073894996","jose","[0, 0]","Only works one side at a time. When you connect two cables, one side stop working and also overheated burning the fuses. I purchased two of them and it's the same problem. Cheap and bad quality.","1.0","don't waste your money, pay more and buy one at Walgreen s.","1398729600","04 29, 2014"
"A31XHOCG62WJH4","6073894996","Jose v Jose velez","[0, 0]","it works great i like i can charge two thing at the same now i dont have to wait for my to finish charging her phone","5.0","charger","1381795200","10 15, 2013"
"A2I7NEVKSJ5UWR","6073894996","Jude Chukwuma Benyeogor jcb","[0, 0]","It came at last, good looking and the price was good and i believe it is worth the time I waited for it to come to me good job","4.0","good job","1395878400","03 27, 2014"
"A30A04FS5YAES3","6073894996","Levi Bowen","[0, 0]","Didn't last very long. Worked great when it worked but it is a cheap piece of plastic crap so I shouldn't have expected it to last.","2.0","Works for a while.","1377216000","08 23, 2013"
"A2Y937AV46ULWQ","6073894996","Mayra","[0, 0]","excellent product, works great , have easy handling, and good quality as it is announced. reached as is shown time and in very good condition thank you very much for everything","4.0","good","1397347200","04 13, 2014"
"A2KP65JS3YY5VL","6073894996","Michael A. Rowley Nick Danger","[0, 0]","Purchased two and we put one in each car. Now we charge our ipad and iohone together. Can also use to power my Galaxy Note 2 or recharge other USB devices. If you have to think about it you need counseling","5.0","Works great. Very inexpensive","1358035200","01 13, 2013"
"A2L6BH090TX9O7","6073894996","M. Johns","[0, 0]","great charger for 2 devices and i haven't had any problems so far 3yrs now","5.0","Five Stars","1375401600","08 2, 2013"
"ABDDX2PV61RMX","6073894996","MS.J","[0, 0]","Purchased product about many a month ago. Pros: Loved it work just fine!! Cool Blue light feature when you plug it into the lighter!! Can plug in two things at one time....Con: Top clear piece came off easily overtime (I just put clear tape around the top) TOTAL: PROS:95% CONS:5%","4.0","Dual USB Port Car Charger","1354147200","11 29, 2012"
"A9VL5ER8D0K2Z","6073894996","Owner","[0, 0]","I bought this so that I could use and charge my Tab at the same time. My tab does not recognize the high power port and will either charge while off or use power while on, it will not charge while powered on.","2.0","not high power","1336176000","05 5, 2012"
"A2NTV6MHFXP4M","6073894996","Patricia Hagan","[0, 0]","I bought this to charge my iphone and tablet in the car. works for iphone but not the tablet. I needed a stronger charge for that but this is still great for both iphoe and ipod together. it's cheap, small and compact","5.0","works","1360281600","02 8, 2013"
"A10W7D1W5M4CHE","6073894996","Paul Rowland","[0, 0]","Works great. The blue led light is a nice touch in the car. We charge a Samsung and Iphone using this outlet. Nice low profile too.","5.0","USB Outlet","1359676800","02 1, 2013"
"A2B8HBZPIFYRV1","6073894996","pissed off","[0, 0]","works great and charges ipads, tablets, smartphones as well as bluetooth speakers and headsets. I would recommend it to anyone looking for a universal car charger.","4.0","Good little charger","1390694400","01 26, 2014"
"A5A4374R8I7NB","6073894996","PWB Esq","[1, 1]","I could only give this USB car charger 2 stars because although it worked fine for about 3 months, it subsequently died on me.Pros:-Has 2 USB ports for charging, one (the top) is 2.1 amps.  The bottom slot is lower, presumably 1 or 1.5 amps.-Fits well in my charging socket - holds tight.  I've had some that were loose in my charging socket.-Works well to charge my iPhone in the top slot and the bottom slot works with most Android phones, except the very high end ones.-Has a blue LED light to tell you it is on and ready to charge.-The USB sockets seem to be well made and tightly fit all my cables.-Pretty solid construction.-It cost less than $2.Cons:-It died on me after 3 months.I had really enjoyed using this USB charger.  It rapidly charged my iPhone and worked well with charging the phones of my family and friends.  The two slot design makes this design very handy; with a 1 slot design, no one else can charge their device unless I remove my cord.  Of course, after this charger died, I had to go back to the 1 slot design I was using before.After 3 months, I began to notice the LED light flickering.  It was less than a week later that is quit working permanently.  I'm not sure what the problem was - faulty wiring, bad design, I guess I'll never know.  I thought about getting another since they are so cheap, but then I thought better of it.  Maybe they are so cheap because they are simply disposable after a short period of time.For whatever reason, it died and I was forced to look for another 2 slot design - I haven't found one in my price range yet.","2.0","Works Fine, But It Died On ME","1340582400","06 25, 2012"
"A1OWZHEQ5UCSAN","6073894996","R. Baker","[0, 0]","This charger works great and is short, unlike most chargers. It does a great job with charging both my phone and my GPS when I am in the car.  Great value and easy on the wallet.","5.0","Great Dual Charger","1360195200","02 7, 2013"
"A25TQLMIAPI1T6","6073894996","Ronaldo","[0, 0]","I bought 2 of this and tried to test first ... after few minutes of charging, it felt hot. Pulled it out and the product smelled burnt. Tried the other one too and same thing. Be careful... this one could be fire hazard or could potentially destroy the electrical system","1.0","Be careful","1403395200","06 22, 2014"
